ticket_id,title,description,summary,log_entries
a7de392e,SQL server disk I/O bottleneck, SQL server disk I/O bottleneck,SQL server disk I/O bottleneck observed. Possible reason: Underlying storage subsystem is slow.,[2025-09-16 16:28] DBA acknowledged the incident. || [2025-09-16 16:43] Investigated system performance counters. || [2025-09-16 16:51] Checked SQL server error logs. || [2025-09-16 17:09] Identified root cause: Underlying storage subsystem is slow. || [2025-09-16 17:22] Applied mitigation step. || [2025-09-16 17:27] Service returned to healthy state.
76fffd3b,SQL server db connection,SQL server db connection,SQL server db connection observed. Possible reason: SQL service not online due to failure.,[2025-09-15 16:28] DBA acknowledged the incident. || [2025-09-15 16:37] Investigated system performance counters. || [2025-09-15 16:49] Checked SQL server error logs. || [2025-09-15 17:07] Identified root cause: SQL service not online due to failure. || [2025-09-15 17:19] Applied mitigation step. || [2025-09-15 17:36] Service returned to healthy state.
6c381d42,SQL server disk I/O bottleneck,SQL server disk I/O bottleneck,SQL server disk I/O bottleneck observed. Possible reason: Excessive tempdb usage under workload.,[2025-09-09 16:28] DBA acknowledged the incident. || [2025-09-09 16:38] Investigated system performance counters. || [2025-09-09 16:47] Checked SQL server error logs. || [2025-09-09 17:03] Identified root cause: Excessive tempdb usage under workload. || [2025-09-09 17:19] Applied mitigation step. || [2025-09-09 17:39] Service returned to healthy state.
4b56176d,SQL server disk I/O bottleneck,SQL server disk I/O bottleneck,SQL server disk I/O bottleneck observed. Possible reason: Transaction log growth issue filling disk.,[2025-09-13 16:28] DBA acknowledged the incident. || [2025-09-13 16:41] Investigated system performance counters. || [2025-09-13 16:52] Checked SQL server error logs. || [2025-09-13 17:11] Identified root cause: Transaction log growth issue filling disk. || [2025-09-13 17:27] Applied mitigation step. || [2025-09-13 17:34] Service returned to healthy state.
4f7551a0,SQL server db connection,SQL server db connection,"SQL server db connection observed. Possible reason: Listener switch-over happened, DB inaccessible for some time.","[2025-09-16 16:28] DBA acknowledged the incident. || [2025-09-16 16:38] Investigated system performance counters. || [2025-09-16 16:48] Checked SQL server error logs. || [2025-09-16 17:05] Identified root cause: Listener switch-over happened, DB inaccessible for some time. || [2025-09-16 17:11] Applied mitigation step. || [2025-09-16 17:16] Service returned to healthy state."
90a96958,SQL server high CPU,SQL server high CPU,SQL server high CPU observed. Possible reason: A bad or inefficient query running too long.,[2025-09-29 16:28] DBA acknowledged the incident. || [2025-09-29 16:44] Investigated system performance counters. || [2025-09-29 17:04] Checked SQL server error logs. || [2025-09-29 17:22] Identified root cause: A bad or inefficient query running too long. || [2025-09-29 17:28] Applied mitigation step. || [2025-09-29 17:39] Service returned to healthy state.
1bd280d9,SQL server high CPU,SQL server high CPU,SQL server high CPU observed. Possible reason: More connections than expected hitting the server.,[2025-09-18 16:28] DBA acknowledged the incident. || [2025-09-18 16:35] Investigated system performance counters. || [2025-09-18 16:40] Checked SQL server error logs. || [2025-09-18 16:57] Identified root cause: More connections than expected hitting the server. || [2025-09-18 17:08] Applied mitigation step. || [2025-09-18 17:15] Service returned to healthy state.
781f8791,SQL server deadlocks,SQL server deadlocks,SQL server deadlocks observed. Possible reason: Application logic causing circular locking.,[2025-09-18 16:28] DBA acknowledged the incident. || [2025-09-18 16:38] Investigated system performance counters. || [2025-09-18 16:44] Checked SQL server error logs. || [2025-09-18 17:04] Identified root cause: Application logic causing circular locking. || [2025-09-18 17:23] Applied mitigation step. || [2025-09-18 17:35] Service returned to healthy state.
ca02a8cf,SQL server memory pressure,SQL server memory pressure,SQL server memory pressure observed. Possible reason: In-Memory OLTP pressure.,[2025-09-27 16:28] DBA acknowledged the incident. || [2025-09-27 16:39] Investigated system performance counters. || [2025-09-27 16:44] Checked SQL server error logs. || [2025-09-27 16:58] Identified root cause: In-Memory OLTP pressure. || [2025-09-27 17:18] Applied mitigation step. || [2025-09-27 17:32] Service returned to healthy state.
ae88b6d7,SQL server availability group failover,SQL server availability group failover,SQL server availability group failover observed. Possible reason: Log send queue high delaying synchronization.,[2025-10-03 16:28] DBA acknowledged the incident. || [2025-10-03 16:46] Investigated system performance counters. || [2025-10-03 16:56] Checked SQL server error logs. || [2025-10-03 17:09] Identified root cause: Log send queue high delaying synchronization. || [2025-10-03 17:27] Applied mitigation step. || [2025-10-03 17:33] Service returned to healthy state.
3c19f78a,SQL server deadlocks,SQL server deadlocks,SQL server deadlocks observed. Possible reason: Missing indexes causing lock contention.,[2025-09-06 16:28] DBA acknowledged the incident. || [2025-09-06 16:33] Investigated system performance counters. || [2025-09-06 16:46] Checked SQL server error logs. || [2025-09-06 17:06] Identified root cause: Missing indexes causing lock contention. || [2025-09-06 17:20] Applied mitigation step. || [2025-09-06 17:32] Service returned to healthy state.
ae21fa27,SQL server high CPU,SQL server high CPU,SQL server high CPU observed. Possible reason: More connections than expected hitting the server.,[2025-09-28 16:28] DBA acknowledged the incident. || [2025-09-28 16:43] Investigated system performance counters. || [2025-09-28 17:01] Checked SQL server error logs. || [2025-09-28 17:08] Identified root cause: More connections than expected hitting the server. || [2025-09-28 17:15] Applied mitigation step. || [2025-09-28 17:22] Service returned to healthy state.
